postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3088,26890,0,71,0,0,0,03/01/2021,04/01/2021
3089,11739,0,15,0,0,0,03/01/2021,04/01/2021
3090,2362,0,45,0,0,0,03/01/2021,04/01/2021
3091,1585,0,0,0,0,0,03/01/2021,04/01/2021
3093,3891,0,12,0,0,0,03/01/2021,04/01/2021
3094,8963,0,10,0,0,0,03/01/2021,04/01/2021
3095,27770,0,30,0,0,0,03/01/2021,04/01/2021
3096,1966,0,10,0,0,0,03/01/2021,04/01/2021
3097,1443,0,2,0,0,0,03/01/2021,04/01/2021
3099,4877,0,9,0,0,0,03/01/2021,04/01/2021
3101,24604,0,48,0,0,0,03/01/2021,04/01/2021
3102,6634,0,19,0,0,0,03/01/2021,04/01/2021
3103,15343,0,11,0,0,0,03/01/2021,04/01/2021
3104,20404,0,31,0,0,0,03/01/2021,04/01/2021
3105,10877,0,13,0,0,0,03/01/2021,04/01/2021
3106,16620,0,27,0,0,0,03/01/2021,04/01/2021
3107,13557,0,10,0,0,0,03/01/2021,04/01/2021
3108,20823,0,34,0,0,0,03/01/2021,04/01/2021
3109,28357,0,44,0,0,0,03/01/2021,04/01/2021
3111,12348,0,17,0,0,0,03/01/2021,04/01/2021
3113,8460,0,8,0,0,0,03/01/2021,04/01/2021
3114,3823,0,6,0,0,0,03/01/2021,04/01/2021
3115,3799,0,6,0,0,0,03/01/2021,04/01/2021
3116,9872,0,25,0,0,0,03/01/2021,04/01/2021
3121,30502,0,128,0,0,0,03/01/2021,04/01/2021
3122,23508,0,56,0,0,0,03/01/2021,04/01/2021
3123,14319,0,28,0,0,0,03/01/2021,04/01/2021
3124,22091,2,26,9.1,0,1,03/01/2021,04/01/2021
3125,15021,0,41,0,0,0,03/01/2021,04/01/2021
3126,8060,0,8,0,0,0,03/01/2021,04/01/2021
3127,18445,0,19,0,0,0,03/01/2021,04/01/2021
3128,19832,0,56,0,0,0,03/01/2021,04/01/2021
3129,17374,0,19,0,0,0,03/01/2021,04/01/2021
3130,32171,0,25,0,0,0,03/01/2021,04/01/2021
3131,22499,0,29,0,0,0,03/01/2021,04/01/2021
3132,16148,2,19,12.4,0,1,03/01/2021,04/01/2021
3133,22119,0,24,0,0,0,03/01/2021,04/01/2021
3134,32782,0,30,0,0,0,03/01/2021,04/01/2021
3135,19954,0,16,0,0,0,03/01/2021,04/01/2021
3136,44373,1,54,2.3,1,1,03/01/2021,04/01/2021
3137,13872,0,83,0,0,0,03/01/2021,04/01/2021
3138,21964,0,37,0,0,0,03/01/2021,04/01/2021
3139,13722,0,10,0,0,0,03/01/2021,04/01/2021
3140,16532,0,33,0,0,0,03/01/2021,04/01/2021
3141,25149,0,71,0,0,0,03/01/2021,04/01/2021
3142,12912,0,28,0,0,0,03/01/2021,04/01/2021
3143,9052,0,29,0,0,0,03/01/2021,04/01/2021
3144,10885,0,19,0,0,0,03/01/2021,04/01/2021
3145,23294,0,43,0,0,0,03/01/2021,04/01/2021
3146,25256,0,27,0,0,0,03/01/2021,04/01/2021
3147,14634,0,36,0,0,0,03/01/2021,04/01/2021
3148,8643,0,31,0,0,0,03/01/2021,04/01/2021
3149,33612,0,65,0,0,0,03/01/2021,04/01/2021
3150,60082,0,85,0,0,0,03/01/2021,04/01/2021
3151,10269,0,10,0,0,0,03/01/2021,04/01/2021
3152,33089,0,36,0,0,0,03/01/2021,04/01/2021
3153,20552,0,15,0,0,0,03/01/2021,04/01/2021
3154,4418,0,6,0,0,0,03/01/2021,04/01/2021
3155,22193,0,25,0,0,0,03/01/2021,04/01/2021
3156,37458,0,27,0,0,0,03/01/2021,04/01/2021
3158,6648,0,4,0,0,0,03/01/2021,04/01/2021
3159,2652,0,3,0,0,0,03/01/2021,04/01/2021
3160,9014,0,8,0,0,0,03/01/2021,04/01/2021
3161,15271,0,30,0,0,0,03/01/2021,04/01/2021
3162,17452,0,12,0,0,0,03/01/2021,04/01/2021
3163,32355,0,49,0,0,0,03/01/2021,04/01/2021
3164,0,0,0,0,0,0,03/01/2021,04/01/2021
3165,27636,0,42,0,0,0,03/01/2021,04/01/2021
3166,23759,0,27,0,0,0,03/01/2021,04/01/2021
3167,9259,0,21,0,0,0,03/01/2021,04/01/2021
3168,20200,1,39,5,1,1,03/01/2021,04/01/2021
3169,20122,1,50,5,1,1,03/01/2021,04/01/2021
3170,19370,0,45,0,0,0,03/01/2021,04/01/2021
3171,21713,0,40,0,0,0,03/01/2021,04/01/2021
3172,23091,0,29,0,0,0,03/01/2021,04/01/2021
3173,25785,0,65,0,0,0,03/01/2021,04/01/2021
3174,38465,0,103,0,0,0,03/01/2021,04/01/2021
3175,53297,0,315,0,0,0,03/01/2021,04/01/2021
3177,11305,0,54,0,0,0,03/01/2021,04/01/2021
3178,33669,0,45,0,0,0,03/01/2021,04/01/2021
3179,6019,0,10,0,0,0,03/01/2021,04/01/2021
3180,7462,0,8,0,0,0,03/01/2021,04/01/2021
3181,20267,0,98,0,0,0,03/01/2021,04/01/2021
3182,23394,0,78,0,0,0,03/01/2021,04/01/2021
3183,18491,0,45,0,0,0,03/01/2021,04/01/2021
3184,15547,0,22,0,0,0,03/01/2021,04/01/2021
3185,12932,0,33,0,0,0,03/01/2021,04/01/2021
3186,23258,0,85,0,0,0,03/01/2021,04/01/2021
3187,15997,0,46,0,0,0,03/01/2021,04/01/2021
3188,18082,0,13,0,0,0,03/01/2021,04/01/2021
3189,5894,0,5,0,0,0,03/01/2021,04/01/2021
3190,10457,0,73,0,0,0,03/01/2021,04/01/2021
3191,10242,0,11,0,0,0,03/01/2021,04/01/2021
3192,22292,2,64,9,0,1,03/01/2021,04/01/2021
3193,19505,9,26,46.1,0,2,03/01/2021,04/01/2021
3194,12965,1,15,7.7,0,1,03/01/2021,04/01/2021
3195,35867,0,54,0,0,0,03/01/2021,04/01/2021
3196,25329,0,80,0,0,0,03/01/2021,04/01/2021
3197,11547,0,13,0,0,0,03/01/2021,04/01/2021
3198,16462,0,21,0,0,0,03/01/2021,04/01/2021
3199,54299,0,100,0,0,0,03/01/2021,04/01/2021
3200,5759,0,26,0,0,0,03/01/2021,04/01/2021
3201,20713,0,33,0,0,0,03/01/2021,04/01/2021
3202,2907,0,0,0,0,0,03/01/2021,04/01/2021
3204,30642,2,54,6.5,0,1,03/01/2021,04/01/2021
3205,10919,0,18,0,0,0,03/01/2021,04/01/2021
3206,10366,0,31,0,0,0,03/01/2021,04/01/2021
3207,16180,0,41,0,0,0,03/01/2021,04/01/2021
3211,1319,0,20,0,0,0,03/01/2021,04/01/2021
3212,16650,0,17,0,0,0,03/01/2021,04/01/2021
3213,4032,0,17,0,0,0,03/01/2021,04/01/2021
3214,23960,0,51,0,0,0,03/01/2021,04/01/2021
3215,20615,0,44,0,0,0,03/01/2021,04/01/2021
3216,56285,0,111,0,0,0,03/01/2021,04/01/2021
3217,6607,0,17,0,0,0,03/01/2021,04/01/2021
3218,13438,0,12,0,0,0,03/01/2021,04/01/2021
3219,19719,0,18,0,0,0,03/01/2021,04/01/2021
3220,16352,0,23,0,0,0,03/01/2021,04/01/2021
3221,754,0,1,0,0,0,03/01/2021,04/01/2021
3222,14962,0,10,0,0,0,03/01/2021,04/01/2021
3223,7401,0,4,0,0,0,03/01/2021,04/01/2021
3224,14187,0,13,0,0,0,03/01/2021,04/01/2021
3225,4058,0,3,0,0,0,03/01/2021,04/01/2021
3226,14161,0,14,0,0,0,03/01/2021,04/01/2021
3227,4821,0,1,0,0,0,03/01/2021,04/01/2021
3228,17939,0,7,0,0,0,03/01/2021,04/01/2021
3230,2548,0,2,0,0,0,03/01/2021,04/01/2021
3231,1257,0,2,0,0,0,03/01/2021,04/01/2021
3232,1111,0,1,0,0,0,03/01/2021,04/01/2021
3233,2029,0,0,0,0,0,03/01/2021,04/01/2021
3234,179,0,0,0,0,0,03/01/2021,04/01/2021
3235,380,0,0,0,0,0,03/01/2021,04/01/2021
3236,230,0,0,0,0,0,03/01/2021,04/01/2021
3237,218,0,0,0,0,0,03/01/2021,04/01/2021
3238,219,0,0,0,0,0,03/01/2021,04/01/2021
3239,423,0,0,0,0,0,03/01/2021,04/01/2021
3240,2026,0,1,0,0,0,03/01/2021,04/01/2021
3241,2565,0,0,0,0,0,03/01/2021,04/01/2021
3242,828,0,0,0,0,0,03/01/2021,04/01/2021
3243,357,0,0,0,0,0,03/01/2021,04/01/2021
3249,3204,0,7,0,0,0,03/01/2021,04/01/2021
3250,12250,0,120,0,0,0,03/01/2021,04/01/2021
3251,522,0,7,0,0,0,03/01/2021,04/01/2021
3254,307,0,2,0,0,0,03/01/2021,04/01/2021
3260,4768,0,1,0,0,0,03/01/2021,04/01/2021
3264,2289,0,0,0,0,0,03/01/2021,04/01/2021
3265,2614,0,1,0,0,0,03/01/2021,04/01/2021
3266,3071,0,1,0,0,0,03/01/2021,04/01/2021
3267,245,0,0,0,0,0,03/01/2021,04/01/2021
3268,2601,0,0,0,0,0,03/01/2021,04/01/2021
3269,729,0,0,0,0,0,03/01/2021,04/01/2021
3270,251,0,0,0,0,0,03/01/2021,04/01/2021
3271,193,0,0,0,0,0,03/01/2021,04/01/2021
3272,1533,0,1,0,0,0,03/01/2021,04/01/2021
3273,146,0,0,0,0,0,03/01/2021,04/01/2021
3274,242,0,0,0,0,0,03/01/2021,04/01/2021
3275,426,0,0,0,0,0,03/01/2021,04/01/2021
3276,479,0,0,0,0,0,03/01/2021,04/01/2021
3277,1922,0,0,0,0,0,03/01/2021,04/01/2021
3278,315,0,0,0,0,0,03/01/2021,04/01/2021
3279,291,0,0,0,0,0,03/01/2021,04/01/2021
3280,31568,0,13,0,0,0,03/01/2021,04/01/2021
3281,1702,0,1,0,0,0,03/01/2021,04/01/2021
3282,2363,0,0,0,0,0,03/01/2021,04/01/2021
3283,1361,0,0,0,0,0,03/01/2021,04/01/2021
3284,3437,0,0,0,0,0,03/01/2021,04/01/2021
3285,1210,0,1,0,0,0,03/01/2021,04/01/2021
3286,564,0,0,0,0,0,03/01/2021,04/01/2021
3287,436,0,0,0,0,0,03/01/2021,04/01/2021
3289,757,0,0,0,0,0,03/01/2021,04/01/2021
3292,187,0,0,0,0,0,03/01/2021,04/01/2021
3293,302,0,1,0,0,0,03/01/2021,04/01/2021
3294,954,0,0,0,0,0,03/01/2021,04/01/2021
3300,10087,0,1,0,0,0,03/01/2021,04/01/2021
3301,1212,0,0,0,0,0,03/01/2021,04/01/2021
3302,371,0,0,0,0,0,03/01/2021,04/01/2021
3303,338,0,0,0,0,0,03/01/2021,04/01/2021
3304,2725,0,1,0,0,0,03/01/2021,04/01/2021
3305,12815,0,18,0,0,0,03/01/2021,04/01/2021
